symbol,edge_class,suggested_setup_name,entry_condition_human_readable,tp_pct,sl_pct,suggested_leverage_min,suggested_leverage_max
ANIMEUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
ANIUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
ANONUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
APUUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
ARCUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
ARGUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
ARIAUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
ASTEROIDUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
ATHUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: excessive_drawdown, non_positive_expectancy)",,,1.0,1.0
ATLASUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal",,,1.0,1.0
AURORAUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
AVAUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
BABYBONKUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BABYDOGEUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
BABYSHARKUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BABYUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BADGERUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
BANANAS31USDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BANANAUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
BANKUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BANUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
BASEDUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BBUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: excessive_drawdown)",,,1.0,1.0
BCATUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BDCUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
BELLSUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: excessive_drawdown)",,,1.0,1.0
BELUGAUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BELUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: excessive_drawdown, non_positive_expectancy)",,,1.0,1.0
BERTUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BIRBUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BLASTUSDT,SPIKE_MEAN_REVERSION_EDGE,SpikeShortDaily,"Close > 2.0 stdev above its 20d mean or > 2.0x its 20d median; short at close, hold up to 5d",-25.33,25.33,1.0,2.0
BLUBUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal",,,1.0,1.0
BLUEUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BMTUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BNCUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: excessive_drawdown)",,,1.0,1.0
BOBAUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
BOBERUSDT,SPIKE_MEAN_REVERSION_EDGE,SpikeShortDaily,"Close > 2.0 stdev above its 20d mean or > 2.0x its 20d median; short at close, hold up to 5d",-15.11,12.0,1.0,1.5
BOBOUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BOBUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BOMEUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal (backtest failed robustness checks: excessive_drawdown)",,,1.0,1.0
BONEUSDT,MIXED/UNSTABLE,NoTrade,"Diagnostic sub-tests conflict, or backtest invalidated the raw signal",,,1.0,1.0
BONKUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
BROCCOLIUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BSBUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BSTUSDT,NO_CLEAR_SHORT_EDGE,NoTrade,No statistically significant short pattern in spike/momentum/volume tests,,,1.0,1.0
BULLAUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BULLISHUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BULLSUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BULLUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
BUTTCOINUSDT,INSUFFICIENT_HISTORY,NoTrade,Fewer than 30 valid daily bars after cleaning,,,1.0,1.0
